Exp. name;Threads;Granulation;Par. Exec. Time;Seq. Exec. Time;Valid
find;5;1;0,0917;0,0001;1
find;5;2;0,0373;0,0001;1
find;5;3;0,0658;0,0001;1
find;5;4;0,0395;0,0001;1
find;5;5;0,0369;0,0001;1
find;5;6;0,04;0,0001;1
find;5;7;0,0309;0,0001;1
find;5;8;0,0462;0,0001;1
find;5;9;0,0402;0,0001;1
find;5;10;0,0623;0,0001;1
find;5;11;0,0447;0,0001;1
find;5;12;0,0316;0,0001;1
find;5;13;0,0977;0,0001;1
find;5;14;0,0344;0,0001;1
find;5;15;0,0326;0,0001;1
find;5;16;0,1215;0,0001;1
find;5;17;0,0365;0,0001;1
find;5;18;0,044;0,0001;1
find;5;19;0,0816;0,0001;1
find;5;20;0,0845;0,0001;1
find_if;5;1;0,0554;0,0001;1
find_if;5;2;0,0567;0,0001;1
find_if;5;3;0,0553;0,0001;1
find_if;5;4;0,0331;0;1
find_if;5;5;0,0225;0,0001;1
find_if;5;6;0,0463;0,0001;1
find_if;5;7;0,0391;0,0001;1
find_if;5;8;0,0371;0,0001;1
find_if;5;9;0,0629;0,0001;1
find_if;5;10;0,0594;0;1
find_if;5;11;0,0419;0,0001;1
find_if;5;12;0,0322;0,0001;1
find_if;5;13;0,0339;0,0001;1
find_if;5;14;0,0443;0,0001;1
find_if;5;15;0,0337;0,0001;1
find_if;5;16;0,0695;0,0001;1
find_if;5;17;0,0594;0,0001;1
find_if;5;18;0,0317;0,0001;1
find_if;5;19;0,0619;0,0001;1
find_if;5;20;0,0568;0,0001;1
find_if_not;5;1;0,0217;0;1
find_if_not;5;2;0,0585;0,0001;1
find_if_not;5;3;0,0364;0,0001;1
find_if_not;5;4;0,0203;0,0001;1
find_if_not;5;5;0,04;0;1
find_if_not;5;6;0,0387;0,0001;1
find_if_not;5;7;0,0496;0,0001;1
find_if_not;5;8;0,0389;0,0001;1
find_if_not;5;9;0,0413;0,0001;1
find_if_not;5;10;0,0405;0;1
find_if_not;5;11;0,0652;0,0001;1
find_if_not;5;12;0,0429;0,0001;1
find_if_not;5;13;0,0797;0,0001;1
find_if_not;5;14;0,0286;0,0002;1
find_if_not;5;15;0,0337;0,0001;1
find_if_not;5;16;0,0829;0,0001;1
find_if_not;5;17;0,0405;0,0001;1
find_if_not;5;18;0,0296;0,0001;1
find_if_not;5;19;0,0636;0;1
find_if_not;5;20;0,0403;0,0001;1
all_of;5;1;0,0886;0,0001;1
all_of;5;2;0,0156;0,0001;1
all_of;5;3;0,0571;0,0001;1
all_of;5;4;0,0318;0,0001;1
all_of;5;5;0,0261;0,0001;1
all_of;5;6;0,0439;0,0001;1
all_of;5;7;0,0283;0,0001;1
all_of;5;8;0,0575;0,0001;1
all_of;5;9;0,039;0;1
all_of;5;10;0,0298;0,0001;1
all_of;5;11;0,0438;0,0001;1
all_of;5;12;0,0888;0,0001;1
all_of;5;13;0,0294;0,0001;1
all_of;5;14;0,0385;0,0001;1
all_of;5;15;0,0302;0,0001;1
all_of;5;16;0,0364;0,0001;1
all_of;5;17;0,0309;0,0001;1
all_of;5;18;0,0454;0;1
all_of;5;19;0,0545;0,0001;1
all_of;5;20;0,0479;0,0001;1
any_of;5;1;0,0863;0,0001;1
any_of;5;2;0,0552;0,0001;1
any_of;5;3;0,0193;0,0001;1
any_of;5;4;0,1036;0;1
any_of;5;5;0,0348;0,0001;1
any_of;5;6;0,0307;0,0001;1
any_of;5;7;0,037;0,0001;1
any_of;5;8;0,0266;0,0001;1
any_of;5;9;0,0302;0,0001;1
any_of;5;10;0,028;0,0002;1
any_of;5;11;0,0599;0,0001;1
any_of;5;12;0,0425;0;1
any_of;5;13;0,0331;0,0001;1
any_of;5;14;0,0644;0,0001;1
any_of;5;15;0,0646;0,0001;1
any_of;5;16;0,0616;0,0001;1
any_of;5;17;0,0435;0;1
any_of;5;18;0,0329;0,0001;1
any_of;5;19;0,063;0;1
any_of;5;20;0,0592;0,0001;1
non_of;5;1;0,0868;0,0001;1
non_of;5;2;0,0893;0,0001;1
non_of;5;3;0,0303;0,0001;1
non_of;5;4;0,057;0,0001;1
non_of;5;5;0,0365;0,0001;1
non_of;5;6;0,0371;0,0001;1
non_of;5;7;0,0731;0,0001;1
non_of;5;8;0,0399;0;1
non_of;5;9;0,0372;0,0001;1
non_of;5;10;0,028;0,0001;1
non_of;5;11;0,0298;0,0001;1
non_of;5;12;0,0701;0,0001;1
non_of;5;13;0,0658;0,0001;1
non_of;5;14;0,0327;0,0002;1
non_of;5;15;0,0857;0,0001;1
non_of;5;16;0,0609;0,0002;1
non_of;5;17;0,061;0,0001;1
non_of;5;18;0,0373;0,0001;1
non_of;5;19;0,095;0;1
non_of;5;20;0,0361;0,0001;1
count;5;1;61,4093;60,4441;1
count;5;2;31,0517;60,4856;1
count;5;3;21,0616;60,9798;1
count;5;4;18,0816;60,7523;1
count;5;5;14,9505;61,39;1
count;5;6;22,7383;62,2425;1
count;5;7;19,3587;60,9766;1
count;5;8;16,643;61,5758;1
count;5;9;15,2344;61,2598;1
count;5;10;15,3086;61,5225;1
count;5;11;18,426;61,282;1
count;5;12;17,2568;60,289;1
count;5;13;17,0855;60,7634;1
count;5;14;14,9365;60,2833;1
count;5;15;14,2985;60,4446;1
count;5;16;16,7835;60,2559;1
count;5;17;17,1399;60,6535;1
count;5;18;15,5664;60,2684;1
count;5;19;15,1803;60,4077;1
count;5;20;15,0032;61,6914;1
count_if;5;1;440,534;61,7778;1
count_if;5;2;221,5;62,5545;1
count_if;5;3;148,761;61,6903;1
count_if;5;4;114,021;62,1126;1
count_if;5;5;94,5448;61,1835;1
count_if;5;6;146,912;62,679;1
count_if;5;7;129,297;62,067;1
count_if;5;8;112,416;62,4597;1
count_if;5;9;100,994;60,838;1
count_if;5;10;93,0108;62,4195;1
count_if;5;11;120,111;61,716;1
count_if;5;12;111,627;61,5063;1
count_if;5;13;102,071;62,096;1
count_if;5;14;96,8415;62,1183;1
count_if;5;15;101,734;63,1422;1
count_if;5;16;109,872;62,7111;1
count_if;5;17;104,389;62,9892;1
count_if;5;18;98,1838;63,5601;1
count_if;5;19;95,5151;62,953;1
count_if;5;20;91,2831;62,9709;1
for_each;5;1;304,216;233,029;1
for_each;5;2;154,819;233,894;1
for_each;5;3;102,772;234,58;1
for_each;5;4;80,8191;236,136;1
for_each;5;5;62,4181;234,831;1
for_each;5;6;102,6;235,132;1
for_each;5;7;88,1113;234,643;1
for_each;5;8;77,1795;234,545;1
for_each;5;9;69,3144;233,721;1
for_each;5;10;63,2847;234,857;1
for_each;5;11;83,9255;234,202;1
for_each;5;12;76,9703;234,925;1
for_each;5;13;71,11;233,953;1
for_each;5;14;68,8449;234,347;1
for_each;5;15;62,5115;234,035;1
for_each;5;16;77,7834;234,785;1
for_each;5;17;72,3731;235,411;1
for_each;5;18;68,9346;234,946;1
for_each;5;19;65,2217;234,608;1
for_each;5;20;76,7756;234,199;1
accumulate;5;1;22,7053;22,39;1
accumulate;5;2;17,2298;23,1793;1
accumulate;5;3;14,9724;23,9332;1
accumulate;5;4;12,9436;22,6593;1
accumulate;5;5;12,6253;24,9338;1
accumulate;5;6;13,8541;23,0256;1
accumulate;5;7;13,192;23,4875;1
accumulate;5;8;12,5305;20,8091;1
accumulate;5;9;12,3388;21,6468;1
accumulate;5;10;14,7305;20,8877;1
accumulate;5;11;12,5607;20,1436;1
accumulate;5;12;12,3193;20,5376;1
accumulate;5;13;11,8195;21,8296;1
accumulate;5;14;11,8157;19,9727;1
accumulate;5;15;11,5113;20,3992;1
accumulate;5;16;12,0632;20,4303;1
accumulate;5;17;12,0767;21,2088;1
accumulate;5;18;12,0304;19,9531;1
accumulate;5;19;11,9446;20,2235;1
accumulate;5;20;11,6371;20,4436;1
sort;5;1;2770,02;2775,71;1
sort;5;2;1613,75;2764,68;1
sort;5;3;1350,12;2799,01;1
sort;5;4;1187,25;2754,35;1
sort;5;5;1123,36;2822,06;1
sort;5;6;1709,36;2784,42;1
sort;5;7;1625,82;2795,02;1
sort;5;8;1517,82;2804,93;1
sort;5;9;1685,43;2813,86;1
sort;5;10;1554,56;2766,5;1
sort;5;11;1935,38;2815,59;1
sort;5;12;1992,53;2830,91;1
sort;5;13;2030,05;2809,32;1
sort;5;14;1963,31;2786,88;1
sort;5;15;2106,2;2827,9;1
sort;5;16;2172,08;2806,49;1
sort;5;17;2371,07;2763,4;1
sort;5;18;2420;2793,69;1
sort;5;19;2473,05;2814,66;1
sort;5;20;2367,11;2806,17;1
inner_product;5;1;36,3843;36,2517;1
inner_product;5;2;27,9802;38,9002;1
inner_product;5;3;26,6087;37,2942;1
inner_product;5;4;24,9439;37,0818;1
inner_product;5;5;23,6301;37,2027;1
inner_product;5;6;27,1669;38,3728;1
inner_product;5;7;25,1814;37,0873;1
inner_product;5;8;24,8443;36,7567;1
inner_product;5;9;24,2159;36,8016;1
inner_product;5;10;24,4389;39,0989;1
inner_product;5;11;26,1774;38,0293;1
inner_product;5;12;25,8378;37,598;1
inner_product;5;13;24,7379;37,8157;1
inner_product;5;14;24,0012;36,9854;1
inner_product;5;15;23,8618;37,4701;1
inner_product;5;16;25,5211;39,3577;1
inner_product;5;17;24,9275;37,1861;1
inner_product;5;18;24,3839;37,1066;1
inner_product;5;19;24,1717;37,0575;1
inner_product;5;20;24,7911;38,7709;1
adjacent_difference;5;1;63,0638;61,5123;1
adjacent_difference;5;2;43,3959;62,0413;1
adjacent_difference;5;3;42,9795;61,9318;1
adjacent_difference;5;4;42,8694;62,7372;1
adjacent_difference;5;5;43,19;61,8323;1
adjacent_difference;5;6;45,1252;63,1816;1
adjacent_difference;5;7;44,0517;62,1528;1
adjacent_difference;5;8;42,3597;63,8767;1
adjacent_difference;5;9;43,1125;61,591;1
adjacent_difference;5;10;41,9081;64,6243;1
adjacent_difference;5;11;44,4356;61,4662;1
adjacent_difference;5;12;42,1457;63,218;1
adjacent_difference;5;13;42,4837;61,4805;1
adjacent_difference;5;14;42,2221;63,4177;1
adjacent_difference;5;15;42,4064;61,2328;1
adjacent_difference;5;16;43,5033;62,8277;1
adjacent_difference;5;17;42,9865;63,1824;1
adjacent_difference;5;18;42,3585;62,738;1
adjacent_difference;5;19;43,3152;62,1619;1
adjacent_difference;5;20;42,0762;64,3609;1
